ENSMUSG00000050071	Bex1
ENSMUSG00000023906	Cldn6
ENSMUSG00000015932	Dstn
ENSMUSG00000021255	Esrrb
ENSMUSG00000013089	Etv5
ENSMUSG00000034391	Fbxo15
ENSMUSG00000050917	Fgf4
ENSMUSG00000024406	Pou5f1
ENSMUSG00000030117	Gdf3
ENSMUSG00000025950	Idh1
ENSMUSG00000038518	Jarid2
ENSMUSG00000055148	Klf2
ENSMUSG00000003032	Klf4
ENSMUSG00000021959	Lats2
ENSMUSG00000068220	Lgals1
ENSMUSG00000036940	Kdm1a
ENSMUSG00000022443	Myh9
ENSMUSG00000012396	Nanog
ENSMUSG00000025056	Nr0b1
ENSMUSG00000006494	Pdk1
ENSMUSG00000002265	Peg3
ENSMUSG00000021196	Pfkp
ENSMUSG00000033149	Phldb2
ENSMUSG00000021701	Plk2
ENSMUSG00000036202	Rif1
ENSMUSG00000001910	Nacc1
ENSMUSG00000041483	Zfp281
ENSMUSG00000051176	Zfp42
ENSMUSG00000031665	Sall1
ENSMUSG00000027547	Sall4
ENSMUSG00000074637	Sox2
ENSMUSG00000029304	Spp1
ENSMUSG00000046323	Dppa3
ENSMUSG00000032085	Tagln
ENSMUSG00000018604	Tbx3
ENSMUSG00000041359	Tcl1
ENSMUSG00000032494	Tdgf1
ENSMUSG00000031548	Sfrp1
ENSMUSG00000021953	Tdh
ENSMUSG00000055320	Tead1
ENSMUSG00000047146	Tet1
ENSMUSG00000040943	Tet2
ENSMUSG00000026380	Tfcp2l1
ENSMUSG00000040152	Thbs1
ENSMUSG00000072235	Tuba1a
ENSMUSG00000001473	Tubb6
ENSMUSG00000020407	Upp1
ENSMUSG00000047751	Utf1
ENSMUSG00000042712	Wbp5
