ENSMUSG00000029580	Actb
ENSMUSG00000024847	Aip
ENSMUSG00000062070	Pgk1
ENSMUSG00000074129	Rpl13a
ENSMUSG00000017404	Rpl19
ENSMUSG00000025508	Rplp2
ENSMUSG00000014767	Tbp
ENSMUSG00000022797	Tfrc
ENSMUSG00000008348	Ubc
ENSMUSG00000022285	Ywhaz
ENSMUSG00000033020	Polr2f
ENSMUSG00000063229	Ldha
ENSMUSG00000031311	Nono
ENSMUSG00000060288	Ppih
ENSMUSG00000020048	Hsp90b1
ENSMUSG00000021270	Hsp90aa1
ENSMUSG00000023944	Hsp90ab1
ENSMUSG00000022194	Pabpn1
ENSMUSG00000035530	Eif1
ENSMUSG00000057561	Eif1a
ENSMUSG00000027810	Eif2a
ENSMUSG00000060802	B2m
